name,lon,lat
银兴菜馆,120.51916,31.24295
大唐嘉华川蜀美食,120.52018,31.86695
刘罗锅广式潮汕砂锅粥,120.521186,31.867286
乡巴佬川菜馆,120.52233,31.23139
百岁鱼,120.523994,31.270538
杨门火锅,120.52762,31.27488
重庆德庄火锅,120.530457,31.86445
名城咖啡,120.532867,30.837799
诸葛烤鱼,120.532951,31.865879
新疆大盘鸡,120.53359,31.86919
川德要德火锅,120.53396,31.17011
润发美食,120.534218,31.86495
潮汕砂锅粥,120.534665,31.866963
小上海菜馆,120.53498,31.86887
阿明美食,120.53577,31.01462
金岛咖啡,120.53587,31.01712
台湾雪锅,120.536492,31.865755
胖大嫂酸菜鱼,120.536636,31.01676
火地铁板烧,120.537,31.2836
魔锅坊麻辣香锅,120.537003,31.865101
土家人风味湘菜馆,120.537109,31.282021
新戗港船菜馆,120.537338,31.045879
新升新苑回头客黑鸭,120.538932,31.281852
和合人家土菜馆,120.53916,31.86463
辛巴克·咖啡,120.539597,31.863859
两重天台湾雪锅,120.541,31.8634
酸菜鱼,120.5418,31.86696
姚记蒸菜馆,120.542,31.85628
陌家咖啡,120.542374,31.860987
南苑美食,120.542412,31.856131
陈家菜馆,120.542542,31.85635
庄家菜饭馆,120.54293,31.86762
宝利家常菜馆,120.54308,31.87339
傣妹火锅,120.543198,31.86314
伦巴达巴西烤肉,120.54321,31.86313
好味家土菜馆,120.54325,31.85802
韩都自助烤肉,120.544,31.86363
俏南国火锅,120.544,31.8625
粗菜馆,120.54422,31.304741
柒发中国菜,120.544975,31.867302
韵典咖啡,120.544975,31.623936
旺山生态园静园饭庄,120.54572,31.21573
名典咖啡语茶,120.54608,31.86368
桂花香湘菜馆,120.54657,31.31603
永典咖啡,120.546799,31.772367
老宅私房菜,120.5468,31.2852
邵氏光头鸡,120.5472645,31.77087158
回头客土菜馆,120.54811,31.888278
极品蛋蛋饭,120.54825,31.3011
七发中国菜,120.548683,31.865248
11年咖啡,120.548767,31.859375
吴门传菜,120.54882,31.29382
香港粗菜馆,120.5491028,31.30014992
新旺精菜馆,120.549362,31.865204
香川和茶,120.549408,31.28701782
杨舍人家家常菜馆,120.549698,31.86281
国泰面菜馆,120.54995,31.87454
第一美咖啡,120.550003,31.2801
维克自助餐西餐,120.55017,31.87785
川锦火锅,120.550232,31.30958
乐慕自助铁板烧,120.550575,31.877645
特香蛋糕,120.550613,31.879669
惠琴肥肠鱼,120.55116,31.97505
重庆孙天火锅,120.55185,31.35196
麦香园西饼,120.552307,31.700171
兰州一碗香牛肉拉面,120.55247,31.30982
左岸咖啡,120.55274,31.8773
阿哲喜烤肉,120.553,31.2881
品粥坊烤海鲜,120.5531399,31.29941395
华祥苑茗茶,120.553466,31.861928
江淮特食,120.55351,31.86097
海王咖啡,120.554394,31.304067
全聚仁果木烤鸭,120.55524,31.86028
松阪烤肉,120.555809,31.303169
沁丰园湘菜馆,120.556,31.3074
台湾卢记麻辣火锅,120.556831,31.292339
蜀一蜀二川菜馆,120.55692,31.86126
三万昌咖啡,120.55757,31.29683
麻吉盛石头火锅,120.558319,31.30769
客家猪肚鸡,120.5584923,31.30760525
忘不了酸菜鱼,120.55854,31.308405
佳味菜馆,120.559113,31.8659
金陵鸭血粉丝汤,120.559998,31.2885
我爱我家家常菜馆,120.560287,31.86768
德沁园家常菜馆,120.56058,31.86844
有滋有味菜馆,120.56065,31.86124
张兰拉面,120.56092,31.30048
祥福鸡,120.56101,31.29547
鱼炫菜馆,120.56148,31.86498
松谷铁板烧,120.56178,31.296752
松阪炭火烧肉,120.56181,31.29032
花月日本料理烤肉,120.561897,31.28928
气力苑日式烧肉,120.56221,31.289871
商业街兰州拉面,120.562218,31.292601
北海道拉面,120.562462,31.28694
味噌拉面,120.562477,31.28871
西蜀寒舍川菜馆,120.56288,31.30065
鱼匠炉端烧,120.563217,31.288603
神座铁板烧,120.56362,31.29381
五佰碗老汤面,120.564018,31.288639
回味菜馆,120.5640899,32.09841743
堂吉咖啡,120.565511,31.294095
德天肥牛海鲜火锅,120.566,31.2938
西九巷咖啡,120.567421,31.319534
姥娘麻辣烫火锅,120.568,31.3004
府城鲁肉饭,120.568611,31.293304
聚丝滑火锅,120.5690765,31.29327965
旧影咖啡,120.5693937,31.2559126
香·车·汇创意美食,120.5701139,31.87435031
乐乐永和豆浆,120.572,31.2036
阿潘骨头汤,120.5724061,31.312384
米罗咖啡,120.574432,31.31097
阿雷酸菜鱼,120.574707,31.253448
金玉米农家饭庄,120.577232,31.307211
老苏州美食,120.578888,31.332821
麦香园蛋糕,120.58121,31.37884
海底捞火锅,120.583023,31.272585
港湾饮食,120.583328,31.316219
川悦楼创新火锅,120.585,31.2989
西缘川菜馆,120.58508,31.31656
都可奶茶,120.585316,31.298886
叶子干锅,120.58532,31.298885
来客茂雅堤咖啡,120.585335,31.315214
思味轩东北菜馆,120.586601,30.9825
万达花袭人红楼干锅,120.5874295,31.37203235
久石烤肉,120.58748,31.22005
